Time[s],xPosition2[px],yPosition2[px]
30.6242134,0,0
30.666107,0,0
30.7080006,0,0
30.7498942,0,0
30.7917878,0,0
30.8336814,0,0
30.875575,0,0
30.9174685,0,0
30.9593621,0,0
31.0012557,0,0
31.0431493,0,0
31.0850429,0,0
31.1269365,0,0
31.1688301,0,0
31.2107237,0,0
31.2526173,0,0
31.2945108,0,0
31.3364044,0,0
31.378298,0,0
31.4201916,0,0
31.4620852,0,0
31.5039788,0,0
31.5458724,0,0
31.587766,0,0
31.6296595,0,0
31.6715531,0,0
31.7134467,0,0
31.7553403,0,0
31.7972339,0,0
31.8391275,0,0
31.8810211,0,0
31.9229147,0,0
31.9648083,0,0
32.0067018,0,0
32.0485954,0,0
32.090489,0,0
32.1323826,0,0
32.1742762,0,0
32.2161698,0,0
32.2580634,0,0
32.299957,0,0
32.3418506,0,0
32.3837441,0,0
32.4256377,0,0
32.4675313,0,0
32.5094249,0,0
32.5513185,0,0
32.5932121,0,0
32.6351057,0,0
32.6769993,0,0
32.7188929,0,0
32.7607864,0,0
32.80268,0,0
32.8445736,0,0
32.8864672,0,0
32.9283608,0,0
32.9702544,0,0
33.012148,0,0
33.0540416,0,0
33.0959352,0,0
33.1378287,0,0
33.1797223,0,0
33.2216159,0,0
33.2635095,0,0
33.3054031,0,0
33.3472967,0,0
33.3891903,0,0
33.4310839,0,0
33.4729775,0,0
33.514871,0,0
33.5567646,0,0
33.5986582,0,0
33.6405518,0,0
33.6824454,0,0
33.724339,0,0
33.7662326,0,0
33.8081262,0,0
33.8500198,0,0
33.8919133,0,0
33.9338069,0,0
33.9757005,0,0
34.0175941,0,0
34.0594877,0,0
34.1013813,0,0
34.1432749,0,0
34.1851685,0,0
34.2270621,0,0
34.2689556,0,0
34.3108492,0,0
34.3527428,0,0
34.3946364,0,0
34.43653,0,0
34.4784236,0,0
34.5203172,0,0
34.5622108,0,0
34.6041044,0,0
34.6459979,0,0
34.6878915,0,0
34.7297851,0,0
34.7716787,0,0
34.8135723,0,0
34.8554659,0,0
34.8973595,0,0
34.9392531,0,0
34.9811467,0,0
35.0230402,0,0
35.0649338,0,0
35.1068274,0,0
35.148721,0,0
35.1906146,0,0
35.2325082,0,0
35.2744018,0,0
35.3162954,0,0
35.358189,0,0
35.4000825,0,0
35.4419761,0,0
35.4838697,0,0
35.5257633,0,0
35.5676569,0,0
35.6095505,0,0
35.6514441,0,0
35.6933377,0,0
35.7352313,0,0
35.7771248,0,0
35.8190184,0,0
35.860912,0,0
35.9028056,0,0
35.9446992,0,0
35.9865928,0,0
36.0284864,0,0
36.07038,0,0
36.1122736,0,0
36.1541671,0,0
36.1960607,0,0
36.2379543,0,0
36.2798479,0,0
36.3217415,0,0
36.3636351,0,0
36.4055287,0,0
36.4474223,0,0
36.4893159,0,0
36.5312094,0,0
36.573103,0,0
36.6149966,0,0
36.6568902,0,0
36.6987838,0,0
36.7406774,0,0
36.782571,0,0
36.8244646,0,0
36.8663582,0,0
36.9082517,0,0
36.9501453,0,0
36.9920389,0,0
37.0339325,0,0
37.0758261,0,0
37.1177197,0,0
37.1596133,0,0
37.2015069,0,0
37.2434005,0,0
37.285294,0,0
37.3271876,0,0
37.3690812,0,0
37.4109748,0,0
37.4528684,0,0
37.494762,0,0
37.5366556,0,0
37.5785492,0,0
37.6204427,0,0
37.6623363,0,0
37.7042299,0,0
37.7461235,0,0
37.7880171,0,0
37.8299107,0,0
37.8718043,0,0
37.9136979,0,0
37.9555915,0,0
37.997485,0,0
38.0393786,0,0
38.0812722,0,0
38.1231658,0,0
38.1650594,0,0
38.206953,0,0
38.2488466,0,0
38.2907402,0,0
38.3326338,0,0
38.3745273,0,0
38.4164209,0,0
38.4583145,0,0
38.5002081,0,0
38.5421017,0,0
38.5839953,0,0
38.6258889,0,0
38.6677825,0,0
38.7096761,0,0
38.7515696,0,0
38.7934632,0,0
38.8353568,0,0
38.8772504,0,0
38.919144,0,0
38.9610376,0,0
39.0029312,0,0
39.0448248,0,0
39.0867184,0,0
39.1286119,0,0
39.1705055,0,0
39.2123991,0,0
39.2542927,0,0
39.2961863,0,0
39.3380799,0,0
39.3799735,0,0
39.4218671,0,0
39.4637607,0,0
39.5056542,0,0
39.5475478,0,0
39.5894414,0,0
39.631335,0,0
39.6732286,0,0
39.7151222,0,0
39.7570158,0,0
39.7989094,0,0
39.840803,0,0
39.8826965,0,0
39.9245901,0,0
39.9664837,0,0
40.0083773,0,0
40.0502709,0,0
40.0921645,0,0
40.1340581,0,0
40.1759517,0,0
40.2178453,0,0
40.2597388,0,0
40.3016324,0,0
40.343526,0,0
40.3854196,0,0
40.4273132,0,0
40.4692068,0,0
40.5111004,0,0
40.552994,0,0
40.5948876,0,0
40.6367811,0,0
40.6786747,0,0
40.7205683,0,0
40.7624619,0,0
40.8043555,0,0
40.8462491,0,0
40.8881427,0,0
40.9300363,0,0
40.9719299,0,0
41.0138234,0,0
41.055717,0,0
41.0976106,0,0
41.1395042,0,0
41.1813978,0,0
41.2232914,0,0
41.265185,0,0
41.3070786,0,0
41.3489722,0,0
41.3908657,0,0
41.4327593,0,0
41.4746529,0,0
41.5165465,0,0
41.5584401,0,0
41.6003337,0,0
41.6422273,0,0
41.6841209,0,0
41.7260145,0,0
41.767908,0,0
41.8098016,0,0
41.8516952,0,0
41.8935888,0,0
41.9354824,0,0
41.977376,0,0
42.0192696,0,0
42.0611632,0,0
42.1030568,0,0
42.1449503,0,0
42.1868439,0,0
42.2287375,0,0
42.2706311,0,0
42.3125247,0,0
42.3544183,0,0
42.3963119,0,0
42.4382055,0,0
42.4800991,0,0
42.5219926,0,0
42.5638862,0,0
42.6057798,0,0
42.6476734,0,0
42.689567,0,0
42.7314606,0,0
42.7733542,0,0
42.8152478,0,0
42.8571414,0,0
42.8990349,0,0
42.9409285,0,0
42.9828221,0,0
43.0247157,0,0
43.0666093,0,0
43.1085029,0,0
43.1503965,0,0
43.1922901,0,0
43.2341836,0,0
43.2760772,0,0
43.3179708,0,0
43.3598644,0,0
43.401758,0,0
43.4436516,0,0
43.4855452,0,0
43.5274388,0,0
43.5693324,0,0
43.6112259,0,0
43.6531195,0,0
43.6950131,0,0
43.7369067,0,0
43.7788003,0,0
43.8206939,0,0
43.8625875,0,0
43.9044811,0,0
43.9463747,0,0
43.9882682,0,0
44.0301618,0,0
44.0720554,0,0
44.113949,0,0
44.1558426,0,0
44.1977362,0,0
44.2396298,0,0
44.2815234,0,0
44.323417,0,0
44.3653105,0,0
44.4072041,0,0
44.4490977,0,0
44.4909913,0,0
44.5328849,0,0
44.5747785,0,0
44.6166721,0,0
44.6585657,0,0
44.7004593,0,0
44.7423528,0,0
44.7842464,0,0
44.82614,0,0
44.8680336,0,0
44.9099272,0,0
44.9518208,0,0
44.9937144,0,0
45.035608,0,0
45.0775016,0,0
45.1193951,0,0
45.1612887,0,0
45.2031823,0,0
45.2450759,0,0
45.2869695,0,0
45.3288631,0,0
45.3707567,0,0
45.4126503,0,0
45.4545439,0,0
45.4964374,0,0
45.538331,0,0
45.5802246,0,0
45.6221182,0,0
45.6640118,0,0
45.7059054,0,0
45.747799,0,0
45.7896926,0,0
45.8315862,0,0
45.8734797,0,0
45.9153733,0,0
45.9572669,0,0
45.9991605,0,0
46.0410541,0,0
46.0829477,0,0
46.1248413,0,0
46.1667349,0,0
46.2086285,0,0
46.250522,0,0
46.2924156,0,0
46.3343092,0,0
46.3762028,0,0
46.4180964,0,0
46.45999,0,0
46.5018836,0,0
46.5437772,0,0
46.5856708,0,0
46.6275643,0,0
46.6694579,0,0
46.7113515,0,0
46.7532451,0,0
46.7951387,0,0
46.8370323,0,0
46.8789259,0,0
46.9208195,0,0
46.9627131,0,0
47.0046066,0,0
47.0465002,0,0
47.0883938,0,0
47.1302874,0,0
47.172181,0,0
47.2140746,0,0
47.2559682,0,0
47.2978618,0,0
47.3397554,0,0
47.3816489,0,0
47.4235425,0,0
47.4654361,0,0
47.5073297,0,0
47.5492233,0,0
47.5911169,0,0
